,Company Name,Company Website,Description,Media Spend (M)
20,"1-800-CONTACTS, Inc.",www.1800contacts.com,contact lenses, $100 - 250 
46,"Gucci America, Inc.",www.gucci.com/us,designer clothing & accessories, $50 - 100 
50,Harbor Freight Tools,www.harborfreight.com,home improvement, $50 - 100 
53,"LensCrafters, Inc.",www.lenscrafters.com,vision care centers, $50 - 100 
64,Rolex Watch USA,www.rolex.com,"watches, luxury", $50 - 100 
76,"Aaron's, Inc.",www.aaronrents.com,furniture rentals, $25 - 50 
79,"Aldi Food Stores, Inc.",www.aldi.com,retail food stores, $25 - 50 
83,"Belk Stores Services, Inc.",www.belk.com,department stores, $25 - 50 
85,"Big Lots, Inc.",www.biglots.com,closeout retail stores, $25 - 50 
86,"Bob's Discount Furniture, Inc.",www.mybobs.com,furniture, $25 - 50 
91,"Burt's Bees, Inc.",www.burtsbees.com,natural personal care products, $25 - 50 
92,Cabela's Inc.,www.cabelas.com,"outdoor clothing, sporting goods", $25 - 50 
101,Famous Footwear,www.famousfootwear.com,retail shoe stores, $25 - 50 
104,Fruit of the Loom,www.fruit.com,"underwear, t-shirts, socks", $25 - 50 
105,Giorgio Armani,www.giorgioarmani.com,upscale designer clothing, $25 - 50 
106,"Goodwill Industries International, Inc.",www.goodwill.org,thrift stores, $25 - 50 
114,Lee Jeans,www.lee.com/LEE_STORE_US/en_US/home.html,jeans & other clothing, $25 - 50 
118,"National Vision, Inc.",www.nationalvision.com,retail vision centers, $25 - 50 
130,Saks Incorporated,www.saksincorporated.com,upscale department stores, $25 - 50 
132,"Sephora USA, LLC",www.sephora.com,cosmetics & beauty supplies, $25 - 50 
133,TaylorMade-adidas,www.taylormadegolf.com,golf equipment & apparel, $25 - 50 
134,The Pep Boys,www.pepboys.com,retail automotive parts, $25 - 50 
139,Wakefern Food Corporation,wakefern.shoprite.com/,food wholesaler, $25 - 50 
142,99 Cents Only Stores,www.99only.com,general merchandise stores, $10 - 25 
144,"Albertsons, LLC",www.albertsons.com,grocery & drug stores, $10 - 25 
148,Anna's Linens,www.annaslinens.com,home textiles, $10 - 25 
154,Burberry Limited,www.burberryplc.com,men & women's fashion, $10 - 25 
155,Central Garden & Pet Company,www.central.com,"lawn, garden, pet supplies", $10 - 25 
157,CITGO Petroleum Corporation,www.citgo.com,petroleum products, $10 - 25 
165,"Essence Communications, Inc.",www.essence.com,"periodicals, music, fashion, lifestyle", $10 - 25 
